name,tags,alcohol,id,brewery_id,brewery_Name,image,Total Quantity,Remaining Quantity,Price
Lokernaere,label beer,5.5,987,257,Brouwerij Het Sas,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Korsakoff,"unfiltered, blonde",6.5,848,96,t Hofbrouwerijke,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Bittere Waarheid,belgian IPA,11,189,299,Brouwerij Het Alternatief by Brouwerij De Graal,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Waas Klok Bier Bruin,dark,8.5,1654,193,Brouwerij Boelens,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Patrasche dubbel,dark brown,8,1190,85,De Proefbrouwerij for Brouwerij De Arend (Hoboken),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
De Koninck Triple d'Anvers,blonde,8,453,236,Brouwerij De Koninck (Duvel-Moortgat),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Hoegaarden Spéciale,"high fermentation, gold blonde",5.7,720,109,Brouwerij De Kluis (AB InBev),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Hoegaarden Verboden Vrucht,fruit beer,8.8,721,109,Brouwerij De Kluis (AB InBev),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Kerstpater,"high fermentation, christmas",9,829,251,Brouwerij Van Den Bossche,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Gouden Carolus Ambrio,amber,8,653,161,Brouwerij Het Anker,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Jessenhofke Maya,"high fermentation, organic",6,772,148,De Proefbrouwerij for Brouwerij Jessenhofke,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Kleveretien,"high fermentation, winter",10,838,82,De Scheldebrouwerij for Brouwerij Het Nest,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Grimbergen Optimo Bruno,high fermentation,10,674,358,Alken-Maes (Heineken),https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Celtic Angel,"high fermentation, amber",6.2,348,62,De Proefbrouwerij for Microbrewery Achilles,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
Dagelyckx bier,label beer,8,436,316,Brouwerij Jessenhofke,https://driftwoodbeer.com/app/uploads/2016/01/Naughty-Hildegard_w-Glass_A.png,1000,,500
